e,e_dot,e_int,stamp
-2.3561934470278283,0.0,-0.31737179289380824,1729888609614483003
-2.3561934470278283,0.0,-0.3910153165139234,1729888609664731726
-2.3546144468948813,0.015779861821457842,-0.35434238710781785,1729888609714763832
-2.3398393334794685,0.16375184119536204,-0.35238254921782103,1729888609764689073
-2.3220447218167086,0.3706269238549724,-0.31534052756439207,1729888609804649158
-2.293904940406032,0.5039137942153566,-0.3129575295176081,1729888609854673992
-2.2613130626561264,0.6067085630705081,-0.344195885723624,1729888609904746096
-2.2111667148820358,0.7490874770067063,-0.3696390444310078,1729888609963931418
-2.172308304283137,0.9051032673116686,-0.3307101459827622,1729888610004285682
-2.0993538788188033,1.0856246077850837,-0.32651135969377704,1729888610064662613
-2.033919310473012,1.2566423394549409,-0.34844502088469725,1729888610114805256
-1.9686948392011758,1.3064674413800736,-0.3051280813971401,1729888610164672370
-1.913864720845899,1.3388522394819895,-0.26593597487269927,1729888610204702063
-1.8404810664704816,1.404459204931976,-0.26045420538306363,1729888610255691808
-1.7734501414101813,1.4093687031754962,-0.27522515616769655,1729888610304280507
-1.6915736917011892,1.3743888758689682,-0.28752271256441114,1729888610364078414
-1.6207916761153331,1.370100989389759,-0.28334746349388995,1729888610415707118
-1.554451546310492,1.3608780610164306,-0.2451449163346146,1729888610464819796
-1.4862836954992384,1.3594397612586913,-0.23060372285012437,1729888610514646399
-1.4163734549743676,1.382393953910197,-0.22259014772957228,1729888610564700728
-1.3618261829229767,1.380965521942707,-0.19192003610737984,1729888610604654792
-1.2933389239452369,1.3537760590876111,-0.18520666725803128,1729888610655676979
-1.225928220178332,1.3589249434266244,-0.1941103057062638,1729888610704683645
-1.1427834735444675,1.3803344183525748,-0.19964304674204528,1729888610764710410
-1.0700217884824526,1.4138002684337743,-0.1899369308468749,1729888610815152549
-0.9999142756304871,1.4288065608476268,-0.16060924705631704,1729888610864693749
-0.9281909045936385,1.4250322115994227,-0.1491944731678792,1729888610914677681
-0.859650720023508,1.4029651727588246,-0.1393553232316556,1729888610964670448
-0.8047716134458975,1.371754227258509,-0.11663822659007621,1729888611004655198
-0.7326202894420013,1.3932518549103354,-0.10907870937042945,1729888611055681482
-0.6621697818587655,1.438210995223745,-0.10909854110733018,1729888611103855487
-0.5964460733006101,1.3843637127867041,-0.09805496715494777,1729888611154167997
-0.5241502658076449,1.2401200781212696,-0.09974294056656918,1729888611215752287
-0.472343203218903,1.1162591206648507,-0.0880291524232468,1729888611264692348
-0.4242916453312966,1.0101084092840538,-0.07026398442925126,1729888611314660812
-0.3807205469777952,0.9152924137523467,-0.06393856592184148,1729888611364803051
-0.3482421552207948,0.8420437020589187,-0.05188854815307302,1729888611404647212
-0.3115240446492207,0.7742979653396009,-0.04677282592927616,1729888611454708633
-0.27711889350686736,0.7159347514106025,-0.046527422615506325,1729888611503970752
-0.2434633712876666,0.6300261595595255,-0.045426986702799106,1729888611563894298
-0.21916195867604182,0.5191595094129844,-0.041020415038966127,1729888611614875053
-0.1982243081780699,0.4485778312465958,-0.033298785830745824,1729888611664669861
-0.17887582012431524,0.40370383412046323,-0.029753497220610287,1729888611714675261
-0.1606012822592282,0.3761038178295918,-0.02689429318267462,1729888611764704174
-0.14802683652925275,0.340001095812533,-0.021933527617547802,1729888611804658155
-0.1356510116153582,0.2784781008437595,-0.020224609635099207,1729888611855748794
-0.121681761377741,0.2578464525823567,-0.020708596643037768,1729888611906832208
-0.10926144241723801,0.2715734539476555,-0.017805099784496053,1729888611952886739
-0.09258812865657351,0.2654441205566159,-0.017776064118207546,1729888612016719901
-0.08281675791615006,0.22820888046905893,-0.01620993012613404,1729888612066774091
-0.0748986090032302,0.18205602853375252,-0.01213170181386347,1729888612113655935
-0.06865020529385424,0.1468673396330143,-0.010971218537193548,1729888612163707666
-0.0633609831774975,0.12542676748725395,-0.009520419675876213,1729888612205680630
-0.05745404740768967,0.12199179148692865,-0.008719669123269788,1729888612255752660
-0.052997937720128174,0.10303805564519546,-0.008746958254981703,1729888612306328496
-0.04710097948592962,0.0945550923251709,-0.008583485512156961,1729888612364712693
-0.044250130254794406,0.07901637058814824,-0.007821750606163202,1729888612414701262
-0.03944290279716567,0.07565999317434269,-0.006603268609692099,1729888612465684634
-0.034696956746656404,0.09761393064589155,-0.005801223154522413,1729888612512703272
-0.03135212634193518,0.08393016546172456,-0.005116317430793099,1729888612562683987
-0.028431370922462396,0.06824453940573738,-0.004344480355761285,1729888612604668938
-0.02542548847525472,0.0647964090872471,-0.003922220057315753,1729888612654745047
-0.02271509842987074,0.05726989116269602,-0.003820776525319052,1729888612704464569
